9, KneadingMachineAgent, bakery-001, kneading-machine-003
10, KneadingMachineAgent, bakery-001, kneading-machine-001
10, KneadingMachineAgent, bakery-001, kneading-machine-002
15, KneadingMachineAgent, bakery-001, kneading-machine-004
26, KneadingMachineAgent, bakery-001, kneading-machine-003
83, DoughPrepTableAgent, bakery-001, prep-table-001
89, Proofer, bakery-001
119, DoughPrepTableAgent, bakery-001, prep-table-003
129, Proofer, bakery-001
136, DoughPrepTableAgent, bakery-001, prep-table-002
146, Proofer, bakery-001
188, DoughPrepTableAgent, bakery-001, prep-table-001
193, DoughPrepTableAgent, bakery-001, prep-table-003
196, Proofer, bakery-001
203, Proofer, bakery-001
